billingbudgets BillingBudgetsBudget
binaryauthorization BinaryAuthorizationAttestor
binaryauthorization BinaryAuthorizationPolicy
cloudfunctions CloudFunctionsFunction
cloudscheduler CloudSchedulerJob
compute ComputeFirewallPolicy
compute ComputeFirewallPolicyAssociation
compute ComputeInstanceGroupManager
compute ComputePacketMirroring
compute ComputeServiceAttachment
configcontroller ConfigControllerInstance
containeranalysis ContainerAnalysisNote
datafusion DataFusionInstance
dataproc DataprocAutoscalingPolicy
dataproc DataprocCluster
dataproc DataprocWorkflowTemplate
dlp DLPDeidentifyTemplate
dlp DLPInspectTemplate
dlp DLPJobTrigger
dlp DLPStoredInfoType
eventarc EventarcTrigger
filestore FilestoreBackup
filestore FilestoreInstance
gkehub GKEHubFeature
gkehub GKEHubMembership
iam IAMWorkforcePool
iam IAMWorkforcePoolProvider
iam IAMWorkloadIdentityPool
iam IAMWorkloadIdentityPoolProvider
iap IAPBrand
iap IAPIdentityAwareProxyClient
identityplatform IdentityPlatformConfig
identityplatform IdentityPlatformOAuthIDPConfig
identityplatform IdentityPlatformTenant
identityplatform IdentityPlatformTenantOAuthIDPConfig
logging LoggingLogBucket
logging LoggingLogExclusion
logging LoggingLogView
monitoring MonitoringGroup
monitoring MonitoringMetricDescriptor
monitoring MonitoringMonitoredProject
monitoring MonitoringService
monitoring MonitoringServiceLevelObjective
monitoring MonitoringUptimeCheckConfig
networkconnectivity NetworkConnectivityHub
networkconnectivity NetworkConnectivitySpoke
networksecurity NetworkSecurityClientTLSPolicy
networksecurity NetworkSecurityServerTLSPolicy
networkservices NetworkServicesEndpointPolicy
networkservices NetworkServicesGRPCRoute
networkservices NetworkServicesGateway
networkservices NetworkServicesHTTPRoute
networkservices NetworkServicesMesh
networkservices NetworkServicesTCPRoute
networkservices NetworkServicesTLSRoute
osconfig OSConfigGuestPolicy
osconfig OSConfigOSPolicyAssignment
privateca PrivateCACertificate
privateca PrivateCACertificateAuthority
privateca PrivateCACertificateTemplate
recaptchaenterprise RecaptchaEnterpriseKey
